SpikeCliff Scanner Results — SHAKE128
Boundary: 168 bytes
================================================================================
Size (B)   | Mean (ns)    | Median (ns)  | ns/byte    | Visual
--------------------------------------------------------------------------------
150        |    2547.83 ns |    2476.47 ns |    16.99 ns | █
151        |    2539.29 ns |    2489.12 ns |    16.82 ns | █
152        |    2488.19 ns |    2430.46 ns |    16.37 ns | █
153        |    2533.23 ns |    2446.26 ns |    16.56 ns | ██████████████████████
154        |    2543.61 ns |    2428.23 ns |    16.52 ns | ███████████████████████████
155        |    2604.14 ns |    2484.11 ns |    16.80 ns | ██████████████████████████████
156        |    2568.89 ns |    2515.58 ns |    16.47 ns | ████████████████████
157        |    2854.34 ns |    2874.32 ns |    18.18 ns | ██████████████████████████████
158        |    2624.45 ns |    2506.14 ns |    16.61 ns | ███████████
159        |    2624.10 ns |    2527.38 ns |    16.50 ns | ███████████
160        |    2589.98 ns |    2633.42 ns |    16.19 ns | ████████
161        |    2595.60 ns |    2648.89 ns |    16.12 ns | ████████
162        |    2590.57 ns |    2557.68 ns |    15.99 ns | ████████
163        |    2595.39 ns |    2661.10 ns |    15.92 ns | ████████
164        |    2675.75 ns |    2748.15 ns |    16.32 ns | ███████████████
165        |    2664.42 ns |    2565.93 ns |    16.15 ns | ██████████████
166        |    2950.93 ns |    3036.61 ns |    17.78 ns | ██████████████████████████████
167        |    3177.78 ns |    3093.00 ns |    19.03 ns | ██████████████████████████████
168        |    3547.50 ns |    3458.38 ns |    21.12 ns | ██████████████████████████████ ← r (boundary)
169        |    3811.89 ns |    3802.14 ns |    22.56 ns | ██████████████████████████████ ← r+1 (EXPECTED SPIKE)
170        |    3598.44 ns |    3535.66 ns |    21.17 ns | █████████████████████████
171        |    3612.22 ns |    3529.42 ns |    21.12 ns | █████████████████████████
172        |    3525.53 ns |    3461.95 ns |    20.50 ns | ███████████████████████
173        |    3571.36 ns |    3531.11 ns |    20.64 ns | ████████████████████████
174        |    3736.42 ns |    3728.87 ns |    21.47 ns | ████████████████████████████
175        |    3581.78 ns |    3476.98 ns |    20.47 ns | ████████████████████████
176        |    3606.72 ns |    3517.65 ns |    20.49 ns | █████████████████████████
177        |    3833.58 ns |    3720.73 ns |    21.66 ns | ██████████████████████████████
178        |    3656.75 ns |    3732.61 ns |    20.54 ns | ██████████████████████████
179        |    3671.73 ns |    3686.86 ns |    20.51 ns | ██████████████████████████
180        |    3632.47 ns |    3671.61 ns |    20.18 ns | █████████████████████████
181        |    3645.68 ns |    3731.45 ns |    20.14 ns | █████████████████████████
182        |    3690.09 ns |    3694.53 ns |    20.28 ns | ██████████████████████████
183        |    3569.90 ns |    3595.70 ns |    19.51 ns | ████████████████████████
184        |    3629.53 ns |    3712.52 ns |    19.73 ns | █████████████████████████
185        |    4038.90 ns |    4082.73 ns |    21.83 ns | ██████████████████████████████
186        |    3990.59 ns |    4160.17 ns |    21.45 ns | █████████████████████████████
187        |    3834.58 ns |    3724.95 ns |    20.51 ns | ██████████████████████████
188        |    3688.19 ns |    3752.48 ns |    19.62 ns | ███████████████████████
189        |    3826.22 ns |    3746.27 ns |    20.24 ns | █████████████████████████
190        |    3815.04 ns |    3729.71 ns |    20.08 ns | █████████████████████████
191        |    3662.42 ns |    3773.56 ns |    19.17 ns | ██████████████████████
192        |    3762.88 ns |    3784.93 ns |    19.60 ns | ████████████████████████
193        |    3829.88 ns |    3786.61 ns |    19.84 ns | █████████████████████████
194        |    3638.56 ns |    3648.78 ns |    18.76 ns | ██████████████████████
195        |    3773.09 ns |    3770.49 ns |    19.35 ns | ████████████████████████
196        |    3689.56 ns |    3572.59 ns |    18.82 ns | ███████████████████████
197        |    3649.57 ns |    3758.12 ns |    18.53 ns | ██████████████████████
198        |    3707.82 ns |    3644.95 ns |    18.73 ns | ███████████████████████
199        |    3662.34 ns |    3723.81 ns |    18.40 ns | ██████████████████████
200        |    3659.29 ns |    3703.26 ns |    18.30 ns | ██████████████████████
201        |    3844.53 ns |    3784.14 ns |    19.13 ns | ██████████████████████████
202        |    3606.57 ns |    3706.84 ns |    17.85 ns | █████████████████████
203        |    3690.76 ns |    3745.74 ns |    18.18 ns | ███████████████████████
204        |    3700.84 ns |    3765.48 ns |    18.14 ns | ███████████████████████
205        |    3575.39 ns |    3614.15 ns |    17.44 ns | █████████████████████
206        |    3705.72 ns |    3757.89 ns |    17.99 ns | ███████████████████████
207        |    3763.14 ns |    3830.50 ns |    18.18 ns | ████████████████████████
208        |    3737.40 ns |    3793.68 ns |    17.97 ns | ████████████████████████
209        |    3650.68 ns |    3729.37 ns |    17.47 ns | ██████████████████████
210        |    3836.16 ns |    3775.02 ns |    18.27 ns | ██████████████████████████
211        |    3684.77 ns |    3704.60 ns |    17.46 ns | ███████████████████████
212        |    3638.43 ns |    3731.07 ns |    17.16 ns | ██████████████████████
213        |    3671.27 ns |    3679.73 ns |    17.24 ns | ██████████████████████
214        |    3975.21 ns |    3856.44 ns |    18.58 ns | ████████████████████████████
215        |    4098.85 ns |    4229.76 ns |    19.06 ns | ██████████████████████████████
216        |    3637.73 ns |    3677.98 ns |    16.84 ns | █████████████████████
217        |    3643.59 ns |    3479.76 ns |    16.79 ns | █████████████████████
218        |    3599.31 ns |    3615.68 ns |    16.51 ns | ████████████████████
219        |    3690.78 ns |    3675.72 ns |    16.85 ns | ██████████████████████
220        |    3713.91 ns |    3755.53 ns |    16.88 ns | ██████████████████████
221        |    3638.64 ns |    3687.66 ns |    16.46 ns | █████████████████████
222        |    3923.01 ns |    3734.76 ns |    17.67 ns | ██████████████████████████
223        |    3577.73 ns |    3494.76 ns |    16.04 ns | ████████████████████
224        |    3605.99 ns |    3585.59 ns |    16.10 ns | ████████████████████
225        |    3584.98 ns |    3618.24 ns |    15.93 ns | ████████████████████
226        |    3748.06 ns |    3737.86 ns |    16.58 ns | ███████████████████████
227        |    3669.84 ns |    3693.19 ns |    16.17 ns | ██████████████████████
228        |    3623.24 ns |    3656.78 ns |    15.89 ns | █████████████████████
229        |    3565.07 ns |    3487.82 ns |    15.57 ns | ████████████████████
230        |    3634.19 ns |    3585.23 ns |    15.80 ns | █████████████████████
231        |    3618.87 ns |    3677.87 ns |    15.67 ns | █████████████████████
232        |    3596.74 ns |    3493.79 ns |    15.50 ns | ████████████████████
233        |    3654.30 ns |    3644.02 ns |    15.68 ns | █████████████████████
234        |    3629.53 ns |    3640.14 ns |    15.51 ns | █████████████████████
235        |    3610.62 ns |    3636.86 ns |    15.36 ns | ████████████████████
236        |    3576.07 ns |    3610.70 ns |    15.15 ns | ████████████████████
237        |    3602.75 ns |    3685.17 ns |    15.20 ns | ████████████████████
238        |    3629.29 ns |    3678.20 ns |    15.25 ns | █████████████████████
239        |    3639.94 ns |    3701.08 ns |    15.23 ns | █████████████████████
240        |    3625.45 ns |    3569.48 ns |    15.11 ns | █████████████████████
241        |    3735.68 ns |    3593.63 ns |    15.50 ns | ███████████████████████
242        |    3760.36 ns |    3789.23 ns |    15.54 ns | ███████████████████████
243        |    3831.55 ns |    3775.80 ns |    15.77 ns | █████████████████████████
244        |    3684.10 ns |    3738.57 ns |    15.10 ns | ██████████████████████
245        |    3647.81 ns |    3755.55 ns |    14.89 ns | █████████████████████
246        |    3671.84 ns |    3701.97 ns |    14.93 ns | ██████████████████████
247        |    4045.44 ns |    4163.55 ns |    16.38 ns | █████████████████████████████
248        |    4033.09 ns |    3822.75 ns |    16.26 ns | ████████████████████████████
249        |    3908.50 ns |    3850.59 ns |    15.70 ns | ██████████████████████████
