SpikeCliff Scanner Results — SHAKE256
Boundary: 136 bytes
================================================================================
Size (B)   | Mean (ns)    | Median (ns)  | ns/byte    | Visual
--------------------------------------------------------------------------------
118        |    1520.38 ns |    1399.25 ns |    12.88 ns | █
119        |    1378.23 ns |    1341.35 ns |    11.58 ns | █
120        |    1367.10 ns |    1348.25 ns |    11.39 ns | █
121        |    1372.37 ns |    1347.85 ns |    11.34 ns | █
122        |    1377.17 ns |    1349.45 ns |    11.29 ns | █
123        |    1476.68 ns |    1382.15 ns |    12.01 ns | █████████████████████
124        |    1394.21 ns |    1382.80 ns |    11.24 ns | █████
125        |    1389.41 ns |    1376.75 ns |    11.12 ns | ████
126        |    1451.00 ns |    1389.90 ns |    11.52 ns | ████████████████
127        |    1386.17 ns |    1378.05 ns |    10.91 ns | ███
128        |    1422.15 ns |    1383.95 ns |    11.11 ns | ██████████
129        |    1408.73 ns |    1381.70 ns |    10.92 ns | ████████
130        |    1412.42 ns |    1385.85 ns |    10.86 ns | ████████
131        |    1398.01 ns |    1380.70 ns |    10.67 ns | ██████
132        |    1403.37 ns |    1386.65 ns |    10.63 ns | ███████
133        |    1408.40 ns |    1383.25 ns |    10.59 ns | ████████
134        |    1429.41 ns |    1389.40 ns |    10.67 ns | ████████████
135        |    1449.24 ns |    1403.25 ns |    10.74 ns | ████████████████
136        |    1845.60 ns |    1807.80 ns |    13.57 ns | ██████████████████████████████ 🏔️  SPIKECLIFF! (+27.3%) ← r (boundary)
137        |    1811.75 ns |    1797.55 ns |    13.22 ns | ███████████████████████████ ← r+1 (EXPECTED SPIKE)
138        |    1824.31 ns |    1798.70 ns |    13.22 ns | ████████████████████████████
139        |    1828.23 ns |    1805.15 ns |    13.15 ns | ████████████████████████████
140        |    1845.63 ns |    1804.60 ns |    13.18 ns | ██████████████████████████████
141        |    1871.71 ns |    1809.70 ns |    13.27 ns | ██████████████████████████████
142        |    1871.54 ns |    1807.45 ns |    13.18 ns | █████████████████████████████
143        |    1822.27 ns |    1799.65 ns |    12.74 ns | ███████████████████████████
144        |    1904.60 ns |    1804.80 ns |    13.23 ns | ██████████████████████████████
145        |    1827.69 ns |    1810.75 ns |    12.60 ns | █████████████████████████
146        |    1832.12 ns |    1811.80 ns |    12.55 ns | █████████████████████████
147        |    1817.37 ns |    1813.15 ns |    12.36 ns | █████████████████████████
148        |    1911.79 ns |    1820.80 ns |    12.92 ns | ██████████████████████████████
149        |    1861.83 ns |    1815.85 ns |    12.50 ns | ███████████████████████████
150        |    1851.52 ns |    1818.85 ns |    12.34 ns | ██████████████████████████
151        |    2364.06 ns |    1904.20 ns |    15.66 ns | ██████████████████████████████ 🏔️  SPIKECLIFF! (+27.7%)
152        |    4017.70 ns |    3926.50 ns |    26.43 ns | ██████████████████████████████ 🏔️  SPIKECLIFF! (+69.9%)
153        |    3942.97 ns |    3900.55 ns |    25.77 ns | █████████████████████████████
154        |    3915.80 ns |    3849.10 ns |    25.43 ns | ████████████████████████████
155        |    3956.50 ns |    3892.15 ns |    25.53 ns | █████████████████████████████
156        |    3859.12 ns |    3776.60 ns |    24.74 ns | ████████████████████████████
157        |    4163.66 ns |    3924.05 ns |    26.52 ns | ██████████████████████████████
158        |    4033.04 ns |    3993.00 ns |    25.53 ns | ████████████████████████████
159        |    4089.70 ns |    3985.40 ns |    25.72 ns | █████████████████████████████
160        |    3968.19 ns |    3925.70 ns |    24.80 ns | ███████████████████████████
161        |    3990.48 ns |    3931.55 ns |    24.79 ns | ████████████████████████████
162        |    4105.79 ns |    4013.40 ns |    25.34 ns | █████████████████████████████
163        |    3907.96 ns |    3846.95 ns |    23.98 ns | ███████████████████████████
164        |    4171.24 ns |    4011.40 ns |    25.43 ns | ██████████████████████████████
165        |    3924.15 ns |    3872.65 ns |    23.78 ns | ███████████████████████████
166        |    3906.17 ns |    3849.00 ns |    23.53 ns | ███████████████████████████
167        |    3955.06 ns |    3878.15 ns |    23.68 ns | ███████████████████████████
168        |    3986.02 ns |    3897.60 ns |    23.73 ns | ████████████████████████████
169        |    4080.32 ns |    4024.95 ns |    24.14 ns | █████████████████████████████
170        |    3916.24 ns |    3863.55 ns |    23.04 ns | ███████████████████████████
171        |    4043.12 ns |    3943.30 ns |    23.64 ns | ████████████████████████████
172        |    4177.15 ns |    3957.75 ns |    24.29 ns | ██████████████████████████████
173        |    4025.85 ns |    3968.55 ns |    23.27 ns | ████████████████████████████
174        |    4123.33 ns |    4006.65 ns |    23.70 ns | █████████████████████████████
175        |    3982.04 ns |    3905.60 ns |    22.75 ns | ███████████████████████████
176        |    4186.43 ns |    4048.10 ns |    23.79 ns | ██████████████████████████████
177        |    4111.90 ns |    3958.60 ns |    23.23 ns | █████████████████████████████
178        |    3994.11 ns |    3942.90 ns |    22.44 ns | ███████████████████████████
179        |    3995.59 ns |    3944.35 ns |    22.32 ns | ███████████████████████████
180        |    4150.19 ns |    4006.00 ns |    23.06 ns | █████████████████████████████
181        |    3987.88 ns |    3846.85 ns |    22.03 ns | ███████████████████████████
182        |    4004.52 ns |    3924.35 ns |    22.00 ns | ████████████████████████████
183        |    3919.32 ns |    3857.50 ns |    21.42 ns | ███████████████████████████
184        |    4000.70 ns |    3892.95 ns |    21.74 ns | ████████████████████████████
185        |    3928.87 ns |    3857.85 ns |    21.24 ns | ███████████████████████████
186        |    4086.84 ns |    3960.85 ns |    21.97 ns | ████████████████████████████
187        |    3938.72 ns |    3901.50 ns |    21.06 ns | ███████████████████████████
188        |    3929.62 ns |    3889.40 ns |    20.90 ns | ███████████████████████████
189        |    4028.13 ns |    3921.50 ns |    21.31 ns | ████████████████████████████
190        |    3883.95 ns |    3842.80 ns |    20.44 ns | ██████████████████████████
191        |    4013.82 ns |    3871.15 ns |    21.01 ns | ████████████████████████████
192        |    4018.57 ns |    3918.70 ns |    20.93 ns | ████████████████████████████
193        |    4000.02 ns |    3898.30 ns |    20.73 ns | ████████████████████████████
194        |    4056.71 ns |    3897.75 ns |    20.91 ns | ████████████████████████████
195        |    4002.68 ns |    3860.95 ns |    20.53 ns | ████████████████████████████
196        |    4105.51 ns |    3946.25 ns |    20.95 ns | █████████████████████████████
197        |    3919.54 ns |    3880.65 ns |    19.90 ns | ███████████████████████████
198        |    3911.19 ns |    3858.70 ns |    19.75 ns | ███████████████████████████
199        |    3972.91 ns |    3898.40 ns |    19.96 ns | ███████████████████████████
200        |    4016.25 ns |    3977.95 ns |    20.08 ns | ████████████████████████████
201        |    4116.54 ns |    3929.45 ns |    20.48 ns | █████████████████████████████
202        |    3960.91 ns |    3909.25 ns |    19.61 ns | ███████████████████████████
203        |    3931.74 ns |    3894.00 ns |    19.37 ns | ███████████████████████████
204        |    4139.74 ns |    3893.75 ns |    20.29 ns | █████████████████████████████
205        |    3965.24 ns |    3869.55 ns |    19.34 ns | ███████████████████████████
206        |    3919.86 ns |    3842.20 ns |    19.03 ns | ███████████████████████████
207        |    4041.32 ns |    3979.65 ns |    19.52 ns | ████████████████████████████
208        |    4111.15 ns |    3971.70 ns |    19.77 ns | █████████████████████████████
209        |    4187.90 ns |    4075.85 ns |    20.04 ns | ██████████████████████████████
210        |    4026.40 ns |    3917.90 ns |    19.17 ns | ████████████████████████████
211        |    4098.39 ns |    3902.70 ns |    19.42 ns | █████████████████████████████
212        |    4023.54 ns |    3923.90 ns |    18.98 ns | ████████████████████████████
213        |    4185.61 ns |    3994.00 ns |    19.65 ns | █████████████████████████████
214        |    3964.39 ns |    3909.35 ns |    18.53 ns | ███████████████████████████
215        |    3878.94 ns |    3831.45 ns |    18.04 ns | ██████████████████████████
216        |    3965.33 ns |    3846.70 ns |    18.36 ns | ███████████████████████████
217        |    3932.79 ns |    3878.85 ns |    18.12 ns | ███████████████████████████
218        |    3936.94 ns |    3875.75 ns |    18.06 ns | ███████████████████████████
219        |    4019.77 ns |    3909.05 ns |    18.36 ns | ████████████████████████████
220        |    4180.46 ns |    4012.05 ns |    19.00 ns | █████████████████████████████
221        |    4049.58 ns |    3863.55 ns |    18.32 ns | ████████████████████████████
222        |    3870.71 ns |    3834.30 ns |    17.44 ns | ██████████████████████████
223        |    4047.65 ns |    3930.50 ns |    18.15 ns | ████████████████████████████
224        |    3990.22 ns |    3909.50 ns |    17.81 ns | ███████████████████████████
225        |    3937.79 ns |    3877.20 ns |    17.50 ns | ███████████████████████████
226        |    4116.57 ns |    3897.15 ns |    18.21 ns | █████████████████████████████
227        |    3929.64 ns |    3899.65 ns |    17.31 ns | ███████████████████████████
228        |    3992.45 ns |    3868.95 ns |    17.51 ns | ███████████████████████████
229        |    3917.79 ns |    3865.50 ns |    17.11 ns | ███████████████████████████
230        |    3931.97 ns |    3854.20 ns |    17.10 ns | ███████████████████████████
231        |    4013.85 ns |    3892.35 ns |    17.38 ns | ████████████████████████████
232        |    3933.08 ns |    3861.55 ns |    16.95 ns | ███████████████████████████
233        |    4079.46 ns |    4004.25 ns |    17.51 ns | ████████████████████████████
234        |    4195.27 ns |    3948.00 ns |    17.93 ns | ██████████████████████████████
235        |    3973.38 ns |    3890.35 ns |    16.91 ns | ███████████████████████████
236        |    3118.42 ns |    3670.85 ns |    13.21 ns | ██████████████████
237        |    1836.61 ns |    1824.55 ns |     7.75 ns | ████
238        |    1857.69 ns |    1828.55 ns |     7.81 ns | █████
239        |    1842.25 ns |    1828.50 ns |     7.71 ns | █████
240        |    1856.15 ns |    1825.60 ns |     7.73 ns | █████
241        |    1873.35 ns |    1820.50 ns |     7.77 ns | █████
